file,context,cat_id,breed,sex,owner_id,session,vocalization,sample_rate,channels,bits,frames,duration_seconds,sha256
B_ANI01_MC_FN_SIM01_101.wav,brushing,ANI01,MC,FN,SIM01,1,01,8000,1,16,18252,2.2815,184201b66f3541ee0af064ede88e2e84730f24f3dd834d94b4afbd7ddb98f845
B_ANI01_MC_FN_SIM01_102.wav,brushing,ANI01,MC,FN,SIM01,1,02,8000,1,16,11352,1.419,de05d090cfa47ae8527dd3cb2fbf37dfcd2f2b12936615383787cd96ada38c70
B_ANI01_MC_FN_SIM01_103.wav,brushing,ANI01,MC,FN,SIM01,1,03,8000,1,16,14391,1.798875,d103dc459bce06fb266359653cea8f7e8f167dbd6aca1b84e8fa5727dab87b35
B_ANI01_MC_FN_SIM01_301.wav,brushing,ANI01,MC,FN,SIM01,3,01,8000,1,16,13916,1.7395,9ad60d70283257b93d739e14fe78e038366bd7f58e3817b775b02e12a33d7c21
B_ANI01_MC_FN_SIM01_302.wav,brushing,ANI01,MC,FN,SIM01,3,02,8000,1,16,10144,1.268,156fed1d3af13ba25d9e78d5781e23a5c7917f89c1e400b541aa0b05562af22c
B_ANI01_MC_FN_SIM01_303.wav,brushing,ANI01,MC,FN,SIM01,3,03,8000,1,16,15370,1.92125,211cf73c5696ddc9f5bc6eee65d589a9e301a319a1aab44593b3212e19b6404f
B_BAC01_MC_MN_SIM01_101.wav,brushing,BAC01,MC,MN,SIM01,1,01,8000,1,16,9284,1.1605,d5e1ca9a88d876d09da52f4cb5d7774fca5ac31af0c7dd5b68dd9595cd471e70
B_BAC01_MC_MN_SIM01_102.wav,brushing,BAC01,MC,MN,SIM01,1,02,8000,1,16,9811,1.226375,dd14982fc56501dbeb3dd4fddd394bb34435bd53ee9322fb03ccf9daa6d87c4c
B_BAC01_MC_MN_SIM01_103.wav,brushing,BAC01,MC,MN,SIM01,1,03,8000,1,16,9776,1.222,ba0d931a82290b041efa0a42038f94f41cca9cf2bbe6c0f0fce93ac97d4fb4f2
B_BAC01_MC_MN_SIM01_202.wav,brushing,BAC01,MC,MN,SIM01,2,02,8000,1,16,10032,1.254,32d44108ce14e7e45d0d38afd6f7b8b88d9c53038bfb1c42840f318ca9cfe37d
B_BAC01_MC_MN_SIM01_301.wav,brushing,BAC01,MC,MN,SIM01,3,01,8000,1,16,9217,1.152125,f92210a5255b2844e231068d9cda3d5948f31af0857b4b43144da1fa21bfe351
B_BAC01_MC_MN_SIM01_303.wav,brushing,BAC01,MC,MN,SIM01,3,03,8000,1,16,9270,1.15875,c98e66d62dd5c97251297ddcb1997436357fbfd26fd786bc52bf318db0e6a5df
B_BRA01_MC_MN_SIM01_101.wav,brushing,BRA01,MC,MN,SIM01,1,01,8000,1,16,11681,1.460125,ea7877a8b16518c584f3a5c2b897cc80301d3e709ca5c72d87cad59c6544aa29
B_BRA01_MC_MN_SIM01_104.wav,brushing,BRA01,MC,MN,SIM01,1,04,8000,1,16,10445,1.305625,e56cb079fc6096496269f6393b76a404bb3bb7d091630ac0f3bcd585a4e17a60
B_BRA01_MC_MN_SIM01_105.wav,brushing,BRA01,MC,MN,SIM01,1,05,8000,1,16,11109,1.388625,3801f2e8e15c5744557691917c07f223f55204af07441330eef27c15efaaa400
B_BRA01_MC_MN_SIM01_106.wav,brushing,BRA01,MC,MN,SIM01,1,06,8000,1,16,10747,1.343375,f5821c4ca075a6fbbc2b5c5258c452a53a3822932e881a1cdb557ce1876db9e3
B_BRA01_MC_MN_SIM01_301.wav,brushing,BRA01,MC,MN,SIM01,3,01,8000,1,16,9504,1.188,5bfca97161acd99c73ac44b168a34a62be4b4bec5733d07ef319905759069dd4
B_BRA01_MC_MN_SIM01_302.wav,brushing,BRA01,MC,MN,SIM01,3,02,8000,1,16,10378,1.29725,fcdb3c84621a9184dd145c0ff8c8ae8a796ed80e2f8a53ccb8c944de47b51e56
B_BRA01_MC_MN_SIM01_303.wav,brushing,BRA01,MC,MN,SIM01,3,03,8000,1,16,11083,1.385375,3c2b197be44ac3a5f5886c54ba7b468be64948e46fd04a14ca5ddc0795f76d72
B_BRI01_MC_FI_SIM01_101.wav,brushing,BRI01,MC,FI,SIM01,1,01,8000,1,16,21594,2.69925,9268d09acb0103aea41870c05160171f584021f352284c20b9cf088520d31f4f
B_BRI01_MC_FI_SIM01_102.wav,brushing,BRI01,MC,FI,SIM01,1,02,8000,1,16,12009,1.501125,9373928fe2645b8499612a41752288780b452390922fc619dea1f03cf3054ccb
B_BRI01_MC_FI_SIM01_201.wav,brushing,BRI01,MC,FI,SIM01,2,01,8000,1,16,14099,1.762375,180f49eb5ee4e43356da70c5a7299aecf941e349adfd0367ff6b6a87c81d58f6
B_BRI01_MC_FI_SIM01_202.wav,brushing,BRI01,MC,FI,SIM01,2,02,8000,1,16,32012,4.0015,baffb67e6dd2a455651478e8ff0d24eb1f4c97d884582268d93e35659e7d3d74
B_BRI01_MC_FI_SIM01_301.wav,brushing,BRI01,MC,FI,SIM01,3,01,8000,1,16,10385,1.298125,9773f9eb5e673c1218eb05e7c8f8fa5bc5f508bcc4caef0aeaa35b128e1f54ea
B_BRI01_MC_FI_SIM01_302.wav,brushing,BRI01,MC,FI,SIM01,3,02,8000,1,16,12825,1.603125,a9879c0e827daae3e06b26ace128c530a5fb5773aaed4ed12a0797ba0d46b8d1
B_BRI01_MC_FI_SIM01_303.wav,brushing,BRI01,MC,FI,SIM01,3,03,8000,1,16,28429,3.553625,564737921bd8e99cf8cc0174df6fcf197b0e3978164ea9690dd7fa0ae887fc44
B_CAN01_EU_FN_GIA01_101.wav,brushing,CAN01,EU,FN,GIA01,1,01,8000,1,16,14676,1.8345,367a891618aa45e0c8c876705ea6cf01a422227c0974e0a9c505642d10a910e8
B_CAN01_EU_FN_GIA01_102.wav,brushing,CAN01,EU,FN,GIA01,1,02,8000,1,16,19668,2.4585,96f9f7d05ef0ef402b6298af80818ce3527efdb0f7f73742e71662c29c3ae5df
B_CAN01_EU_FN_GIA01_103.wav,brushing,CAN01,EU,FN,GIA01,1,03,8000,1,16,13459,1.682375,c3d3be62a6bf2c49ad72070cbe6ae7308a7e0b4d84e775fbae72a58a495e1c81
B_CAN01_EU_FN_GIA01_104.wav,brushing,CAN01,EU,FN,GIA01,1,04,8000,1,16,12489,1.561125,7b6b8c66a81d07de6574c7cc505150d177fa68e3ee7f43767d9d61824368887a
B_CAN01_EU_FN_GIA01_105.wav,brushing,CAN01,EU,FN,GIA01,1,05,8000,1,16,17125,2.140625,a6ece0d1af965c9febecad30d7ead46e8970013505c0c4ba44b8df977c1b64f5
B_CAN01_EU_FN_GIA01_201.wav,brushing,CAN01,EU,FN,GIA01,2,01,8000,1,16,15177,1.897125,960b68258b7c9cfeae16e71676e4507203df97720f11f0f1429eb0023fd4bec6
B_CAN01_EU_FN_GIA01_202.wav,brushing,CAN01,EU,FN,GIA01,2,02,8000,1,16,14670,1.83375,11732fd0cfa7feabd4ebaae6b424749a7a9033735f1bab667cdb85d3406a2342
B_CAN01_EU_FN_GIA01_203.wav,brushing,CAN01,EU,FN,GIA01,2,03,8000,1,16,14397,1.799625,f8219911318aaa205e45322deaff630f3288ac97f07b50aeb41ca9c4d6f73f7b
B_CAN01_EU_FN_GIA01_204.wav,brushing,CAN01,EU,FN,GIA01,2,04,8000,1,16,13890,1.73625,11b6665c093bc331ec45c2c9c32365c34d56eef6bd8c3d581f6272594489a143
B_CAN01_EU_FN_GIA01_205.wav,brushing,CAN01,EU,FN,GIA01,2,05,8000,1,16,14592,1.824,63fb27902ec48cd90cc6f76fc96f2bcab2a3c0556d4ec1b3587c7d108cedeabf
B_CAN01_EU_FN_GIA01_206.wav,brushing,CAN01,EU,FN,GIA01,2,06,8000,1,16,12408,1.551,6df74df810c90369ba5ea9e08426285b5df3dc0f0ee7e04c8c2dfe141a2d4ea4
B_CAN01_EU_FN_GIA01_207.wav,brushing,CAN01,EU,FN,GIA01,2,07,8000,1,16,12759,1.594875,f738b5d23c90f4329dfbd25a272727b0f8355af3d8e248fdeb1dc66372f4ab91
B_CAN01_EU_FN_GIA01_208.wav,brushing,CAN01,EU,FN,GIA01,2,08,8000,1,16,14553,1.819125,cea01eb14650ef3d74ac11f98b9550192444cffabfc984e6f7c15ba6efa16a24
